id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	duration_h	in_range_h	in_range_percent	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	pool_id	pool_symbol
49293	43600	43700	100	121784707030669444170	2651003815797058690484	5529.60	178.66	96.93	1179.30	7	7	100	0.00	78.2401	79.0264	0.7863	78.6332	0x44e19e5Bfb18b4c0110146a733746DF3C5c669d7	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
208409	49400	49700	300	228165400105601887421	17617115258430799191877	17191.01	178.30	31.12	378.57	23	23	100	0.06	139.7357	143.9911	4.2554	141.8634	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	1	1	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
237132	-83800	-83750	50	23942612660676728646787	6054422326407328751	23611.49	177.28	22.53	274.06	6	1	17	0.03	0.0002	0.0002	0.0000	0.0002	0xb1E4A2686A58fed058E0A4741A31aae56C20CD87	0	0	0	0	0	0	0	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
48651	43500	43600	100	14041822654660223901	18202993609113682511161	10302.12	175.89	51.22	623.17	4	4	100	0.00	77.4616	78.2401	0.7785	77.8508	0x44e19e5Bfb18b4c0110146a733746DF3C5c669d7	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
291053	-82100	-81900	200	16553638936885321380007	13542714293045889628	33166.87	175.78	15.90	193.45	8	8	100	0.01	0.0003	0.0003	0.0000	0.0003	0x8eBd71AdEF20291B02E9748dC5fdfcb1e3137570	1	-887272	887272	0	0	2	1	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
113221	51100	51900	800	2,5E+20	48970001772866738240994	34856.30	175.41	15.10	183.68	1	1	100	0.00	165.6280	179.4220	13.7940	172.5250	0x7d86a61e66419dC7F48cC3B324f30395Eca72558	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
296385	-81750	-81550	200	26985742376163752129056	10658401406818228846	33514.55	169.09	15.14	184.16	9	9	100	0.00	0.0003	0.0003	0.0000	0.0003	0x8eBd71AdEF20291B02E9748dC5fdfcb1e3137570	1	-887272	887272	0	0	2	1	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
41994	43200	44100	900	47746746656154074100	4574511175391305665053	4076.91	167.44	123.21	1499.03	1	1	100	0.07	75.1724	82.2513	7.0789	78.7119	0xb05558258d079E389aF967E66A26C186D2994662	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
445049	201100	201500	400	2498962922	2431337391260107143	6875.37	164.03	23.86	290.27	62	62	100	0.00	541035020.1799	563113952.0647	22078931.8848	552074486.1223	0xa58573e68F4179F6b1e66c6fcf31a5A77951a6c5	1	-887272	887272	50	50	2	1	100	0x6fb30f3fcb864d49cdff15061ed5c6adfee40b40	USDC.e/WETH
196513	-83300	-81300	2000	33418357478225640090793	9228615385153364937	34356.66	163.73	4.77	57.98	59	59	100	0.07	0.0002	0.0003	0.0001	0.0003	0x8fe391f986d23B824dD9910b25Bd8f39d51d7bAE	0	0	0	0	0	20	19	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
62189	46800	46900	100	90473636587234883890	4671910596344946590360	5567.27	162.50	87.56	1065.37	7	7	100	0.71	107.7449	108.8277	1.0828	108.2863	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
47253	43600	43700	100	63417853944688043126	1243611382133175748910	2805.56	159.38	170.43	2073.51	5	5	100	0.03	78.2401	79.0264	0.7863	78.6332	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
260027	50600	51100	500	163504975797079565681	20593750156639490820982	16622.57	158.27	28.56	347.53	8	8	100	0.04	157.5507	165.6280	8.0774	161.5893	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	2	2	50	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
178267	50100	50500	400	178029247002604272833	24952558831280178492991	19465.07	154.66	11.92	145.01	33	33	100	0.05	149.8672	155.9831	6.1159	152.9251	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	2	1	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
232368	47800	48100	300	217422515301774582888	14913244562106394728648	15369.42	151.38	29.55	359.50	5	5	100	0.03	119.0759	122.7021	3.6262	120.8890	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	1	1	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
304760	-82950	-81950	1000	8126313225038493571415	2259380742124100570	8381.96	150.91	10.80	131.43	117	116	99	0.03	0.0002	0.0003	0.0000	0.0003	0x336e7e9BbA73FA2018Afb867332a0D62Bbc3C087	1	-887272	887272	0	0	10	9	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
353671	-83400	-82500	900	30755268583548997893721	7858852005967917784	30476.98	145.06	7.14	86.86	48	47	98	0.07	0.0002	0.0003	0.0000	0.0003	0x336e7e9BbA73FA2018Afb867332a0D62Bbc3C087	1	-887272	887272	0	0	9	8	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
135328	49500	51800	2300	90588640922844404143	1079144441621857225597	3631.05	142.61	11.78	143.35	236	236	100	0.05	141.1400	177.6368	36.4968	159.3884	0xab61660F93dFfca32e3F526B20DAD35332080A12	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
139142	50700	50800	100	46939571268746020002	1889885654344332105628	2600.05	142.49	164.41	2000.32	9	9	100	0.00	159.1340	160.7332	1.5992	159.9336	0x6B827564e08449149e91AF0D7a4cF7F5F0ACB3A0	1	-887272	887272	0	0	0	0	1000	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
108140	50600	50700	100	5968861513567246328	6265353660887262014199	3584.14	141.65	118.57	1442.55	3	3	100	0.00	157.5507	159.1340	1.5833	158.3423	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
87283	-81200	-79200	2000	54669053918028436308114	6323003891732376822	40410.67	141.55	5.25	63.93	47	45	96	0.13	0.0003	0.0004	0.0001	0.0003	0x8fe391f986d23B824dD9910b25Bd8f39d51d7bAE	0	0	0	0	0	20	19	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
414846	-81250	-80750	500	25192266819040730791492	10596481077328106228	32450.76	139.54	6.45	78.48	30	23	77	0.05	0.0003	0.0003	0.0000	0.0003	0x336e7e9BbA73FA2018Afb867332a0D62Bbc3C087	1	-887272	887272	0	0	5	4	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
468027	-82750	-82150	600	22922495880889819513897	7180800546431485275	25097.29	139.45	16.67	202.81	18	18	100	0.01	0.0003	0.0003	0.0000	0.0003	0x8eBd71AdEF20291B02E9748dC5fdfcb1e3137570	1	-887272	887272	0	0	6	5	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
284327	-82950	-81550	1400	13447243821536736507822	14273153809057554876	32832.16	139.16	6.36	77.35	42	42	100	0.01	0.0002	0.0003	0.0000	0.0003	0x8D11ceb5f689483aa27960487a90DB51Ff7Ac529	1	-887272	887272	0	0	22	5	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
55086	43300	43400	100	136343465040130465351	2600470303271990767836	5992.21	137.29	68.74	836.29	9	7	78	0.15	75.9278	76.6909	0.7630	76.3094	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
147209	-81800	-80400	1400	13714684090949878055713	16292904345023570399	36609.73	133.94	3.66	44.51	52	52	100	0.03	0.0003	0.0003	0.0000	0.0003	0x8D11ceb5f689483aa27960487a90DB51Ff7Ac529	1	-887272	887272	0	0	22	5	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
123335	51700	51800	100	54202215003067572691	11485914799203952450586	8026.30	133.18	49.78	605.65	12	12	100	0.07	175.8694	177.6368	1.7674	176.7531	0x6B827564e08449149e91AF0D7a4cF7F5F0ACB3A0	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
226352	-84400	-82400	2000	34155482828937198920749	8623926023217757473	33659.63	132.99	5.93	72.11	47	47	100	0.12	0.0002	0.0003	0.0000	0.0002	0x8fe391f986d23B824dD9910b25Bd8f39d51d7bAE	0	0	0	0	0	20	19	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
49286	43600	43700	100	72899128893045948070	857941013171309818884	2916.34	132.70	136.51	1660.82	5	5	100	0.00	78.2401	79.0264	0.7863	78.6332	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
235161	-83750	-83600	150	24529591521276552948492	5981133372326301676	23791.25	132.60	16.72	203.43	7	7	100	0.00	0.0002	0.0002	0.0000	0.0002	0xb1E4A2686A58fed058E0A4741A31aae56C20CD87	0	0	0	0	0	0	0	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
54914	43200	43400	200	151748245050553800457	7581622962924994226839	9200.40	132.54	43.22	525.83	12	11	92	0.22	75.1724	76.6909	1.5185	75.9316	0x2bFca5af2596FB4FB9b6DBd7b3026d251AD6e3c9	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
158920	49900	50500	600	84348208519319045905	13577349363453866300062	10170.09	132.24	13.00	158.21	51	51	100	0.00	146.8998	155.9831	9.0833	151.4414	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	3	2	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
117777	51900	52000	100	2851105533545904574	9838662414431535301889	5408.82	132.19	73.32	892.04	14	12	86	0.01	179.4220	181.2251	1.8031	180.3236	0x6B827564e08449149e91AF0D7a4cF7F5F0ACB3A0	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
53722	42800	42900	100	90147577441906441158	6380286478982705589479	6478.82	132.16	61.20	744.57	5	5	100	0.01	72.2250	72.9508	0.7258	72.5879	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
50085	43500	43700	200	151335013146676400173	7633685232578995544837	9214.61	131.08	42.68	519.22	9	9	100	0.02	77.4616	79.0264	1.5647	78.2440	0x44e19e5Bfb18b4c0110146a733746DF3C5c669d7	1	-887272	887272	0	0	1	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
274352	-83450	-81450	2000	47658690853090420983744	4175218756749871032	32822.16	129.40	3.94	47.97	54	54	100	0.29	0.0002	0.0003	0.0001	0.0003	0x8fe391f986d23B824dD9910b25Bd8f39d51d7bAE	0	0	0	0	0	0	0	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
201471	48000	48400	400	452912647285270062574	48965247767459157400960	41681.74	129.18	9.30	113.12	1	1	100	0.07	121.4813	126.4388	4.9575	123.9600	0x7d86a61e66419dC7F48cC3B324f30395Eca72558	1	-887272	887272	0	0	1	2	300	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
139370	50700	50800	100	10042036029957599817	2726203417809990522511	1810.06	129.15	214.06	2604.37	8	8	100	0.03	159.1340	160.7332	1.5992	159.9336	0xb1E4A2686A58fed058E0A4741A31aae56C20CD87	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
